statistical_area2,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°„C),Quality
Howard Springs,14041,2001,8,33.7,Y
Howard Springs,14041,2001,9,36.5,Y
Howard Springs,14041,2001,10,36.3,Y
Howard Springs,14041,2001,11,36.2,Y
Howard Springs,14041,2001,12,34.6,Y
Howard Springs,14041,2002,1,35.3,Y
Howard Springs,14041,2002,2,31.8,Y
Howard Springs,14041,2002,3,34.7,Y
Howard Springs,14041,2002,4,34.5,Y
Howard Springs,14041,2002,5,34.3,Y
Howard Springs,14041,2002,6,32.3,Y
Howard Springs,14041,2002,7,32.4,Y
Howard Springs,14041,2002,8,33.5,Y
Howard Springs,14041,2002,9,35.2,Y
Howard Springs,14041,2002,10,38.1,Y
Howard Springs,14041,2002,11,36.5,Y
Howard Springs,14041,2002,12,36.3,Y
Howard Springs,14041,2003,1,33,Y
Howard Springs,14041,2003,2,32.5,Y
Howard Springs,14041,2003,3,33,Y
Howard Springs,14041,2003,4,35.3,Y
Howard Springs,14041,2003,5,34.4,Y
Howard Springs,14041,2003,6,33.8,Y
Howard Springs,14041,2003,7,33.4,Y
Howard Springs,14041,2003,8,34,Y
Howard Springs,14041,2003,9,36,Y
Howard Springs,14041,2003,10,37.9,Y
Howard Springs,14041,2003,11,36.2,Y
Howard Springs,14041,2003,12,34.2,Y
Howard Springs,14041,2004,1,32.9,Y
Howard Springs,14041,2004,2,31.5,Y
Howard Springs,14041,2004,3,32.8,Y
Howard Springs,14041,2004,4,34.6,Y
Howard Springs,14041,2004,5,32.8,Y
Howard Springs,14041,2004,6,31.2,Y
Howard Springs,14041,2004,7,31.6,Y
Howard Springs,14041,2004,8,33.2,Y
Howard Springs,14041,2004,9,35,Y
Howard Springs,14041,2004,10,37.4,Y
Howard Springs,14041,2004,11,36.9,Y
Howard Springs,14041,2004,12,35.3,Y
Howard Springs,14041,2005,1,33.5,Y
Howard Springs,14041,2005,2,34.6,Y
Howard Springs,14041,2005,3,33.8,Y
Howard Springs,14041,2005,4,34.9,Y
Howard Springs,14041,2005,5,34,Y
Howard Springs,14041,2005,6,33.1,Y
Howard Springs,14041,2005,7,33.7,Y
Howard Springs,14041,2005,8,34,Y
Howard Springs,14041,2005,9,36.1,Y
Howard Springs,14041,2005,10,37.7,Y
Howard Springs,14041,2005,11,35.7,Y
Howard Springs,14041,2005,12,34.5,Y
Howard Springs,14041,2006,1,31.6,Y
Howard Springs,14041,2006,2,34.1,Y
Howard Springs,14041,2006,3,31.6,Y
Howard Springs,14041,2006,4,31.9,Y
Howard Springs,14041,2006,5,31.6,Y
Howard Springs,14041,2006,6,30.9,Y
Howard Springs,14041,2006,7,31,Y
Howard Springs,14041,2006,8,33.1,Y
Howard Springs,14041,2006,9,36,Y
Howard Springs,14041,2006,10,37,Y
Howard Springs,14041,2006,11,36.1,Y
Howard Springs,14041,2006,12,35.7,Y
Howard Springs,14041,2007,1,33.8,Y
Howard Springs,14041,2007,2,33.8,Y
Howard Springs,14041,2007,3,31.8,Y
Howard Springs,14041,2007,4,34,Y
Howard Springs,14041,2007,5,34.1,Y
Howard Springs,14041,2007,6,30.8,Y
Howard Springs,14041,2007,7,31.6,Y
Howard Springs,14041,2007,8,33.5,Y
Howard Springs,14041,2007,9,36.8,Y
Howard Springs,14041,2007,10,37.4,Y
Howard Springs,14041,2007,11,36.2,Y
Howard Springs,14041,2007,12,35,Y
Howard Springs,14041,2008,1,33.8,Y
Howard Springs,14041,2008,2,32.3,Y
Howard Springs,14041,2008,3,33.4,Y
Howard Springs,14041,2008,4,33.9,Y
Howard Springs,14041,2008,5,33.1,Y
Howard Springs,14041,2008,6,32.8,Y
Howard Springs,14041,2008,7,32.9,Y
Howard Springs,14041,2008,8,34.3,Y
Howard Springs,14041,2008,9,37,Y
Howard Springs,14041,2008,10,37.8,Y
Howard Springs,14041,2008,11,36.7,Y
Howard Springs,14041,2008,12,33.7,Y
Howard Springs,14041,2009,1,33.3,Y
Howard Springs,14041,2009,2,32.4,Y
Howard Springs,14041,2009,3,34.6,Y
Howard Springs,14041,2009,4,35.2,Y
Howard Springs,14041,2009,5,33.5,Y
Howard Springs,14041,2009,6,32.8,Y
Howard Springs,14041,2009,7,33.2,Y
Howard Springs,14041,2009,8,34.8,Y
Howard Springs,14041,2009,9,37.2,Y
Howard Springs,14041,2009,10,38.3,Y
Howard Springs,14041,2009,11,37.2,Y
Howard Springs,14041,2009,12,34.7,Y
Howard Springs,14041,2010,1,33.2,Y
Howard Springs,14041,2010,2,34.6,Y
Howard Springs,14041,2010,3,34.8,Y
Howard Springs,14041,2010,4,33.4,Y
Howard Springs,14041,2010,5,33.3,Y
Howard Springs,14041,2010,6,32.2,Y
Howard Springs,14041,2010,7,33.8,Y
Howard Springs,14041,2010,8,35,Y
Howard Springs,14041,2010,9,36.9,Y
Howard Springs,14041,2010,10,35.3,Y
Howard Springs,14041,2010,11,35.3,Y
Howard Springs,14041,2010,12,33.9,Y
Howard Springs,14041,2011,1,32,Y
Howard Springs,14041,2011,2,31.7,Y
Howard Springs,14041,2011,3,32.6,Y
Howard Springs,14041,2011,4,32.7,Y
Howard Springs,14041,2011,5,31.7,Y
Howard Springs,14041,2011,6,30,Y
Howard Springs,14041,2011,7,32.2,Y
Howard Springs,14041,2011,8,33.7,Y
Howard Springs,14041,2011,9,35.9,Y
Howard Springs,14041,2011,10,36.8,Y
Howard Springs,14041,2011,11,34.4,Y
Howard Springs,14041,2011,12,34.7,Y
Howard Springs,14041,2012,1,33.4,Y
Howard Springs,14041,2012,2,34.2,Y
Howard Springs,14041,2012,3,33,Y
Howard Springs,14041,2012,4,34.3,Y
Howard Springs,14041,2012,5,32.7,Y
Howard Springs,14041,2012,6,31.3,Y
Howard Springs,14041,2012,7,32.6,Y
Howard Springs,14041,2012,8,34.5,Y
Howard Springs,14041,2012,9,37.3,Y
Howard Springs,14041,2012,10,36.7,Y
Howard Springs,14041,2012,11,37,Y
Howard Springs,14041,2012,12,36.9,Y
Howard Springs,14041,2013,1,35.1,Y
Howard Springs,14041,2013,2,35,Y
Howard Springs,14041,2013,3,33.9,Y
Howard Springs,14041,2013,4,34.8,Y
Howard Springs,14041,2013,5,34.2,Y
Howard Springs,14041,2013,6,32.8,Y
Howard Springs,14041,2013,7,33,Y
Howard Springs,14041,2013,8,34.9,Y
Howard Springs,14041,2013,9,36.8,Y
Howard Springs,14041,2013,10,38.1,Y
Howard Springs,14041,2013,11,35.8,Y
Howard Springs,14041,2013,12,34.5,Y
Howard Springs,14041,2014,1,33,Y
Howard Springs,14041,2014,2,32.5,Y
Howard Springs,14041,2014,3,34.9,Y
Howard Springs,14041,2014,4,34.1,Y
Howard Springs,14041,2014,5,33.2,Y
Howard Springs,14041,2014,6,32.3,Y
Howard Springs,14041,2014,7,32.7,Y
Howard Springs,14041,2014,8,33.8,Y
Howard Springs,14041,2014,9,37.2,Y
Howard Springs,14041,2014,10,38.5,Y
Howard Springs,14041,2014,11,37.5,Y
Howard Springs,14041,2014,12,35.5,Y
Howard Springs,14041,2015,1,32.3,Y
Howard Springs,14041,2015,2,35.1,Y
Howard Springs,14041,2015,3,34.8,Y
Howard Springs,14041,2015,4,34.7,Y
Howard Springs,14041,2015,5,33.9,Y
Howard Springs,14041,2015,6,33.5,Y
Howard Springs,14041,2015,7,33,Y
Howard Springs,14041,2015,8,34.4,Y
Howard Springs,14041,2015,9,36.7,Y
Howard Springs,14041,2015,10,37.7,Y
Howard Springs,14041,2015,11,38.4,Y
Howard Springs,14041,2015,12,34,Y
Howard Springs,14041,2016,1,35.6,Y
Howard Springs,14041,2016,2,35.6,Y
Howard Springs,14041,2016,3,36,Y
Howard Springs,14041,2016,4,35.9,Y
Howard Springs,14041,2016,5,34.6,Y
Howard Springs,14041,2016,6,34.8,Y
Howard Springs,14041,2016,7,33.3,Y
Howard Springs,14041,2016,8,34.8,Y
Howard Springs,14041,2016,9,36.4,Y
Howard Springs,14041,2016,10,36.7,Y
Howard Springs,14041,2016,11,36.2,Y
Howard Springs,14041,2016,12,34,Y
Howard Springs,14041,2017,1,33.1,Y
Howard Springs,14041,2017,2,32.9,Y
Howard Springs,14041,2017,3,33.5,Y
Howard Springs,14041,2017,4,32.9,Y
Howard Springs,14041,2017,5,33.8,Y
Howard Springs,14041,2017,6,32.2,Y
Howard Springs,14041,2017,7,34.1,Y
Howard Springs,14041,2017,8,35.4,Y
Howard Springs,14041,2017,9,37.3,Y
Howard Springs,14041,2017,10,37.3,Y
Howard Springs,14041,2017,11,35.6,Y
Howard Springs,14041,2017,12,35.6,Y
Howard Springs,14041,2018,1,32.3,Y
Howard Springs,14041,2018,2,32.8,Y
Howard Springs,14041,2018,3,34.4,Y
Howard Springs,14041,2018,4,35.1,Y
Howard Springs,14041,2018,5,33.3,Y
Howard Springs,14041,2018,6,32.7,Y
Howard Springs,14041,2018,7,33.6,Y
Howard Springs,14041,2018,8,34.3,Y
Howard Springs,14041,2018,9,37.3,Y
Howard Springs,14041,2018,10,37.6,Y
Howard Springs,14041,2018,11,36.5,Y
Howard Springs,14041,2018,12,36.2,Y
Howard Springs,14041,2019,1,34.2,Y
Howard Springs,14041,2019,2,35.4,Y
Howard Springs,14041,2019,3,34.9,Y
Howard Springs,14041,2019,4,33.9,Y
Howard Springs,14041,2019,5,33.2,Y
Howard Springs,14041,2019,6,32.3,Y
Howard Springs,14041,2019,7,33,Y
Howard Springs,14041,2019,8,34.1,Y
Howard Springs,14041,2019,9,36.3,Y
Howard Springs,14041,2019,10,38.4,Y
Howard Springs,14041,2019,11,37.4,Y
Howard Springs,14041,2019,12,37.3,Y
Howard Springs,14041,2020,1,34.4,Y
Howard Springs,14041,2020,2,34.9,Y
Howard Springs,14041,2020,3,34.2,Y
Howard Springs,14041,2020,4,34.5,Y
Howard Springs,14041,2020,5,33,Y
Howard Springs,14041,2020,6,33.4,Y
Howard Springs,14041,2020,7,33.3,Y
Howard Springs,14041,2020,8,35.4,Y
Howard Springs,14041,2020,9,36.9,Y
Howard Springs,14041,2020,10,36.1,Y
Howard Springs,14041,2020,11,37.4,Y
Howard Springs,14041,2020,12,33.3,Y
Howard Springs,14041,2021,1,33.1,Y
Howard Springs,14041,2021,2,32.7,Y
Howard Springs,14041,2021,3,33.4,Y
Howard Springs,14041,2021,4,33.7,Y
Howard Springs,14041,2021,5,32.9,Y
Howard Springs,14041,2021,6,32.7,Y
Howard Springs,14041,2021,7,34,Y
Howard Springs,14041,2021,8,35.3,Y
Howard Springs,14041,2021,9,36.6,Y
Howard Springs,14041,2021,10,37.7,Y
